edge,lag,lag_s,coef_placebo,se_placebo,t_placebo,p_placebo,n_obs
BINANCE->BITGET,1,5,0.010726098201409254,0.00815882047945896,1.314662852113709,0.1886412782940814,16713
BINANCE->BITGET,3,15,-0.010874633567692806,0.00856508495344814,-1.2696469009703033,0.20422811717912204,16711
BINANCE->BITGET,6,30,-0.0015338055690609221,0.008422156018759683,-0.1821155492304455,0.8554942558951075,16708
BINANCE->BYBITSPOT,1,5,0.02366895025538359,0.009411488403571257,2.514899794850965,0.011915940086737686,16695
BINANCE->BYBITSPOT,3,15,0.030256474577919048,0.008932203212601894,3.3873473159715015,0.0007073491632267892,16693
BINANCE->BYBITSPOT,6,30,-0.00985540750918879,0.00836358177377417,-1.1783716326051314,0.23866528384303165,16690
BINANCE->COINBASE,1,5,0.24987493433447994,0.018679940082310813,13.376645387160632,0.0,17235
BINANCE->COINBASE,3,15,0.027299725891324088,0.010997071816961166,2.4824540882981934,0.01305753725179315,17233
BINANCE->COINBASE,6,30,0.1627944945608171,0.021884387385062966,7.438841750348987,1.0635936575909e-13,17230
BITGET->BINANCE,1,5,0.009567781067530822,0.008913341852614288,1.073422429627176,0.2830971251682588,16713
BITGET->BINANCE,3,15,-0.004335160864286679,0.008810793592555058,-0.492028421588471,0.622705715582117,16711
BITGET->BINANCE,6,30,-0.0035904377352282777,0.008513930765893895,-0.42171328778139416,0.6732397304971292,16708
BITGET->BYBITSPOT,1,5,0.017694431292545436,0.009895475279421523,1.788133545171145,0.07377288692541595,16431
BITGET->BYBITSPOT,3,15,0.012175119395004767,0.010767178421217114,1.1307622961846024,0.258171661787546,16429
BITGET->BYBITSPOT,6,30,0.00974626717659167,0.009818398072893229,0.9926534964496195,0.32089346865141577,16426
BITGET->COINBASE,1,5,-0.004362275300904246,0.008441053148543546,-0.5167927774103556,0.6053076643969049,16706
BITGET->COINBASE,3,15,0.001293592668952496,0.008093029656046656,0.15984034705544373,0.873008773182772,16704
BITGET->COINBASE,6,30,0.012866415121648773,0.008195016004880087,1.5700292853591615,0.11642724485500033,16701
BYBITSPOT->BINANCE,1,5,-0.0016704699978179489,0.009152835482908357,-0.18250846974550328,0.8551859243620437,16695
BYBITSPOT->BINANCE,3,15,0.01707233104951423,0.008758578466222803,1.9492125480582454,0.051286774148654235,16693
BYBITSPOT->BINANCE,6,30,-0.00341814644467336,0.009002770975274832,-0.37967715207472696,0.704189913718992,16690
BYBITSPOT->BITGET,1,5,0.0029882645175240974,0.009688549353336306,0.3084326051861491,0.7577570856400782,16431
BYBITSPOT->BITGET,3,15,-0.0039022345367622805,0.012522807451609424,-0.31161020017606095,0.7553407358519897,16429
BYBITSPOT->BITGET,6,30,0.02497574396268107,0.011763251861563214,2.123200646947812,0.033751952912550065,16426
BYBITSPOT->COINBASE,1,5,0.0013457965915185147,0.00805092935689441,0.167160402465343,0.8672458659805156,16687
BYBITSPOT->COINBASE,3,15,0.025862667473997063,0.00785591585400745,3.292126335696943,0.0009963955304623795,16685
BYBITSPOT->COINBASE,6,30,-0.008398310166621539,0.007608103858956319,-1.1038637645219553,0.26966816365623636,16682
COINBASE->BINANCE,1,5,0.012056314842700769,0.012101925272888546,0.9962311426356303,0.3191518155763975,17264
COINBASE->BINANCE,3,15,0.01182662003662147,0.01449936102119683,0.8156649123593763,0.4147030679384187,17262
COINBASE->BINANCE,6,30,0.03223750212620345,0.01330680150929602,2.4226334257471716,0.015418691783725569,17259
COINBASE->BITGET,1,5,-0.016632941630726195,0.009163207793471715,-1.8151876510512244,0.06951300174322461,16706
COINBASE->BITGET,3,15,-0.004484684772730818,0.009490848295541228,-0.4725272845039267,0.6365566455168654,16704
COINBASE->BITGET,6,30,0.007744905658346999,0.008678320193023949,0.892442948183996,0.3721684193505026,16701
COINBASE->BYBITSPOT,1,5,0.0033427767006850625,0.009902424994901873,0.33757152438983834,0.7356903505510688,16687
COINBASE->BYBITSPOT,3,15,0.023796297355261786,0.0095439084387134,2.4933492927002274,0.012664041674624205,16685
COINBASE->BYBITSPOT,6,30,-0.002343398086228003,0.008645251312454518,-0.2710618814345001,0.7863467927566563,16682
