edge,tsi_overall,total_windows,on_windows,mean_beta_magnitude
BINANCE->COINBASE,0.012403786233417173,94,1,0.00012403786233417173
BINANCE->BYBITSPOT,0.02676529382218762,77,2,0.00026765293822187617
BINANCE->BITGET,0.017712170703134644,74,1,0.00017712170703134645
COINBASE->BINANCE,0.012403786233417174,94,1,0.00012403786233417175
COINBASE->BYBITSPOT,0.0011007908066199368,77,0,1.1007908066199367e-05
COINBASE->BITGET,0.0027807404999983893,73,0,2.7807404999983894e-05
BYBITSPOT->BINANCE,0.02676529382218762,77,2,0.00026765293822187617
BYBITSPOT->COINBASE,0.0011007908066199366,77,0,1.1007908066199366e-05
BYBITSPOT->BITGET,0.009662662087152695,66,0,9.662662087152695e-05
BITGET->BINANCE,0.017712170703134644,74,1,0.00017712170703134645
BITGET->COINBASE,0.0027807404999983893,73,0,2.7807404999983894e-05
BITGET->BYBITSPOT,0.009662662087152695,66,0,9.662662087152695e-05
