edge,tsi_overall,total_windows,on_windows,mean_beta_magnitude
BINANCE->COINBASE,0.20502159535263154,287,58,0.0020502159535263154
BINANCE->BYBITSPOT,0.00015857652141260657,278,0,1.5857652141260658e-06
BINANCE->BITGET,0.009049819605490688,278,2,9.049819605490687e-05
COINBASE->BINANCE,0.20502159535263156,287,58,0.002050215953526316
COINBASE->BYBITSPOT,0.0026897752142668705,278,0,2.6897752142668704e-05
COINBASE->BITGET,0.0017814186461137967,278,0,1.781418646113797e-05
BYBITSPOT->BINANCE,0.00015857652141260657,278,0,1.5857652141260658e-06
BYBITSPOT->COINBASE,0.0026897752142668705,278,0,2.6897752142668704e-05
BYBITSPOT->BITGET,0.014149608012095735,273,3,0.00014149608012095736
BITGET->BINANCE,0.009049819605490688,278,2,9.049819605490687e-05
BITGET->COINBASE,0.001781418646113797,278,0,1.781418646113797e-05
BITGET->BYBITSPOT,0.014149608012095733,273,3,0.00014149608012095733
