edge,tsi_overall,total_windows,on_windows,mean_beta_magnitude
BINANCE->COINBASE,0.13393345519883754,285,38,0.0013393345519883753
BINANCE->BYBITSPOT,0.017941939106133165,270,4,0.00017941939106133164
BINANCE->BITGET,0.015691886111900415,253,3,0.00015691886111900415
COINBASE->BINANCE,0.13393345519883756,285,38,0.0013393345519883758
COINBASE->BYBITSPOT,0.0163829459102878,268,4,0.000163829459102878
COINBASE->BITGET,0.009992925625477114,252,2,9.992925625477114e-05
BYBITSPOT->BINANCE,0.017941939106133165,270,4,0.00017941939106133164
BYBITSPOT->COINBASE,0.0163829459102878,268,4,0.000163829459102878
BYBITSPOT->BITGET,0.024180180971564137,245,5,0.0002418018097156414
BITGET->BINANCE,0.015691886111900415,253,3,0.00015691886111900415
BITGET->COINBASE,0.009992925625477114,252,2,9.992925625477114e-05
BITGET->BYBITSPOT,0.024180180971564137,245,5,0.0002418018097156414
